OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641835620,41084.15000000,41249.97000000,40986.85000000,40986.85000000,414.80568000,1641835679,17056279.69721790,7866,178.57574000,7345592.23890080
1641835680,40986.85000000,41114.38000000,40874.99000000,40874.99000000,284.43054000,1641835739,11653277.41215830,5275,146.75990000,6013888.21552060
1641835740,41082.24000000,41150.00000000,41049.18000000,41049.18000000,68.57059000,1641835799,2818616.95636540,1609,38.59815000,1586608.63510360
1641835800,41133.71000000,41138.15000000,40934.62000000,40934.62000000,83.53718000,1641835859,3426210.30487710,1928,35.14226000,1441337.80439090
1641835860,41000.31000000,41005.49000000,40659.80000000,40659.80000000,312.95905000,1641835919,12759275.37942820,5515,126.52975000,5159337.21403170
1641835920,40738.60000000,40824.83000000,40652.53000000,40652.53000000,173.13971000,1641835979,7055988.50848740,2402,66.94862000,2727199.89370250
1641835980,40792.14000000,40818.08000000,40715.59000000,40715.59000000,50.14151000,1641836039,2044224.93189990,1363,22.38657000,912650.15795190
1641836040,40759.19000000,40824.00000000,40720.04000000,40720.04000000,46.58524000,1641836099,1899733.05190180,1254,27.75356000,1131700.60579980
1641836100,40771.54000000,40797.93000000,40564.89000000,40564.89000000,168.58525000,1641836159,6850815.74846600,3603,68.06228000,2765864.68842470
1641836160,40647.08000000,40712.00000000,40594.21000000,40594.21000000,86.38119000,1641836219,3512445.13353840,1631,33.43398000,1359150.05511710
1641836220,40656.57000000,40685.89000000,40568.72000000,40568.72000000,67.11602000,1641836279,2727116.17311690,1578,33.03253000,1342170.36228580
1641836280,40665.18000000,40829.18000000,40624.18000000,40624.18000000,123.57731000,1641836339,5033301.87704870,2556,82.70158000,3368700.51554530
1641836340,40753.35000000,40756.36000000,40659.99000000,40659.99000000,37.80361000,1641836399,1539223.25754450,1178,16.43295000,669068.68957440
1641836400,40663.60000000,40742.18000000,40624.61000000,40624.61000000,61.11216000,1641836459,2485465.55182010,1219,41.33657000,1681316.75605780
1641836460,40732.77000000,40779.57000000,40713.38000000,40713.38000000,26.26223000,1641836519,1069974.53033480,788,13.65624000,556345.22677660
1641836520,40778.46000000,40930.28000000,40778.45000000,40778.45000000,96.47720000,1641836579,3943382.95028120,2349,54.61182000,2232230.63936910
1641836580,40847.95000000,40879.40000000,40804.51000000,40804.51000000,62.73521000,1641836639,2561978.77141010,1277,32.56627000,1329958.19873050
1641836640,40815.43000000,40820.72000000,40637.14000000,40637.14000000,60.76392000,1641836699,2473617.00499150,1545,15.57575000,634126.24715160
1641836700,40687.43000000,40799.44000000,40637.14000000,40637.14000000,62.43534000,1641836759,2542440.98119080,1537,28.43778000,1157988.26500170
1641836760,40799.43000000,40883.89000000,40797.04000000,40797.04000000,37.15730000,1641836819,1517607.34161420,1277,19.03379000,777321.63294320
1641836820,40825.69000000,41387.75000000,40810.04000000,40810.04000000,513.55970000,1641836879,21154257.80982120,9995,333.13206000,13716190.55350740
1641836880,41281.26000000,41337.28000000,41127.66000000,41127.66000000,271.45549000,1641836939,11194643.53380040,3905,128.33619000,5291091.97867670
1641836940,41152.74000000,41175.72000000,40970.87000000,40970.87000000,93.57501000,1641836999,3845528.48442720,2284,50.22190000,2063785.24337030
1641837000,41015.39000000,41179.29000000,41008.97000000,41008.97000000,109.87462000,1641837059,4516048.80481140,2172,62.77203000,2580295.93907000
1641837060,41155.41000000,41262.25000000,41147.98000000,41147.98000000,106.18141000,1641837119,4373926.48860850,1928,42.66429000,1757584.26187980
1641837120,41181.69000000,41388.12000000,41179.63000000,41179.63000000,79.46964000,1641837179,3281355.83795070,2009,42.94154000,1772704.10163790
1641837180,41384.66000000,41507.69000000,41346.71000000,41346.71000000,178.08953000,1641837239,7375758.93135020,3261,91.79350000,3802276.18518180
1641837240,41365.38000000,41384.23000000,41264.57000000,41264.57000000,46.67745000,1641837299,1928709.73092450,1276,19.37312000,800389.12809520
1641837300,41291.40000000,41363.77000000,41231.06000000,41231.06000000,68.03759000,1641837359,2809360.39539790,1300,31.72979000,1310179.60214930
1641837360,41245.52000000,41268.92000000,41188.71000000,41188.71000000,47.82086000,1641837419,1971386.50827580,1119,19.58556000,807432.59296890
1641837420,41213.73000000,41282.29000000,41190.00000000,41190.00000000,40.51937000,1641837479,1671232.84561500,1083,22.20359000,915833.55049810
1641837480,41278.77000000,41278.78000000,41192.37000000,41192.37000000,50.63345000,1641837539,2088043.75722410,926,18.59565000,766593.81409410
1641837540,41225.00000000,41232.11000000,41173.84000000,41173.84000000,30.49281000,1641837599,1256367.64180390,1030,12.22963000,503865.33227440
1641837600,41184.44000000,41314.71000000,41143.72000000,41143.72000000,80.47100000,1641837659,3318076.18185900,1803,38.09906000,1570575.21086920
1641837660,41165.94000000,41210.34000000,41137.54000000,41137.54000000,36.02984000,1641837719,1483755.08885370,1038,16.66968000,686494.54189040
1641837720,41159.50000000,41191.48000000,41124.52000000,41124.52000000,46.45462000,1641837779,1912211.04156890,955,23.94658000,985717.21448330
1641837780,41152.01000000,41172.01000000,41118.36000000,41118.36000000,24.55107000,1641837839,1009967.39135880,725,13.49326000,555060.00324650
1641837840,41137.34000000,41190.87000000,41136.60000000,41136.60000000,22.47184000,1641837899,925173.01042440,720,10.37117000,426967.67113030
1641837900,41161.99000000,41278.33000000,41147.08000000,41147.08000000,31.60303000,1641837959,1303312.21180480,888,17.99698000,742109.38674400
1641837960,41260.99000000,41261.00000000,41188.79000000,41188.79000000,15.59920000,1641838019,642999.67204750,629,7.84665000,323398.56666820
1641838020,41207.36000000,41273.41000000,41181.83000000,41181.83000000,24.61288000,1641838079,1015016.53856630,795,13.39160000,552247.39816570
1641838080,41230.00000000,41250.51000000,41189.43000000,41189.43000000,24.87472000,1641838139,1025216.74453820,779,15.56053000,641368.35372860
1641838140,41219.74000000,41224.99000000,41168.72000000,41168.72000000,9.73080000,1641838199,400893.48233440,480,4.27940000,176284.18207780
1641838200,41193.49000000,41249.88000000,41182.49000000,41182.49000000,15.02298000,1641838259,618965.56906610,535,10.08633000,415580.34361370
1641838260,41247.86000000,41326.22000000,41177.60000000,41177.60000000,37.16680000,1641838319,1532937.08639000,1111,17.42703000,718860.42063430
1641838320,41192.91000000,41239.34000000,41182.55000000,41182.55000000,31.34069000,1641838379,1291568.43983800,667,8.83332000,364012.89749390
1641838380,41235.55000000,41295.79000000,41216.09000000,41216.09000000,27.23290000,1641838439,1123506.71617470,710,17.85680000,736738.44095800
1641838440,41219.57000000,41264.35000000,41212.70000000,41212.70000000,8.32058000,1641838499,343099.92987040,416,5.81925000,239954.01918450
1641838500,41249.96000000,41256.00000000,41163.88000000,41163.88000000,25.27777000,1641838559,1041946.61786730,602,6.22433000,256517.37858360
1641838560,41166.66000000,41215.16000000,41166.66000000,41166.66000000,14.60370000,1641838619,601506.09476320,550,6.62885000,273017.91230270
1641838620,41170.72000000,41260.76000000,41170.72000000,41170.72000000,21.93628000,1641838679,904619.84763970,645,11.67470000,481443.34140590
1641838680,41246.37000000,41346.60000000,41246.36000000,41246.36000000,34.85745000,1641838739,1439813.56618840,750,24.83004000,1025593.56430770
1641838740,41317.95000000,41444.54000000,41288.82000000,41288.82000000,57.59322000,1641838799,2383812.41391880,1242,42.31538000,1751506.59895530
1641838800,41383.31000000,41392.29000000,41347.62000000,41347.62000000,17.98997000,1641838859,744226.86473220,531,6.43628000,266261.27336320
1641838860,41350.68000000,41392.45000000,41270.12000000,41270.12000000,23.13973000,1641838919,956705.98452270,730,8.75335000,361791.41184130
1641838920,41270.12000000,41311.84000000,41270.12000000,41270.12000000,14.26029000,1641838979,588887.40281310,622,4.17968000,172585.47898060
1641838980,41292.80000000,41388.88000000,41292.80000000,41292.80000000,33.93927000,1641839039,1403676.70227360,668,14.82794000,613291.26156790
1641839040,41388.87000000,41413.24000000,41380.02000000,41380.02000000,16.17913000,1641839099,669762.48457120,597,10.18830000,421746.74047840
1641839100,41401.59000000,41409.65000000,41330.05000000,41330.05000000,27.26129000,1641839159,1127767.32616900,759,15.03240000,621838.96315040
